Entry,Reaction Name,Description,Pathway IDs
R11392,(R)-2-aza-beta-tyrosine:[peptidyl-carrier protein] ligase (AMP-forming),ATP + (R)-2-Aza-beta-tyrosine + Peptidyl-carrier protein <=> AMP + Diphosphate + (R)-2-Aza-beta-tyrosyl-[pcp],"Biosynthesis of enediyne antibiotics,Biosynthesis of secondary metabolites"
R11393,(R)-2-aza-beta-tyrosyl-[pcp]:FADH2 oxidoreductase,(R)-2-Aza-beta-tyrosyl-[pcp] + FADH2 + Cl- + Oxygen + H+ <=> (R)-2-Aza-3-chloro-beta-tyrosyl-[pcp] + FAD + 2 H2O,"Biosynthesis of enediyne antibiotics,Biosynthesis of secondary metabolites"
R01001,L-cystathionine cysteine-lyase (deaminating; 2-oxobutanoate-forming),L-Cystathionine + H2O <=> L-Cysteine + Ammonia + 2-Oxobutanoate,"Glycine, serine and threonine metabolism,Cysteine and methionine metabolism,One carbon pool by folate,Biosynthesis of secondary metabolites,Biosynthesis of amino acids"
R06361,acyl-CoA:isopenicillin N N-acyltransferase,Isopenicillin N + Acyl-CoA + H2O <=> Penicillin + CoA + L-2-Aminoadipate,"Penicillin and cephalosporin biosynthesis,Biosynthesis of secondary metabolites"
R07498,,Zymosterol + NADPH + H+ <=> 5alpha-Cholest-8-en-3beta-ol + NADP+,"Steroid biosynthesis,Biosynthesis of secondary metabolites"
R03353,5alpha-cholest-7-en-3beta-ol delta7-delta8-isomerase,Lathosterol <=> 5alpha-Cholest-8-en-3beta-ol,"Steroid biosynthesis,Biosynthesis of secondary metabolites"
R07215,"lathosterol,ferrocytochrome b5:oxygen oxidoreductase 5,6-dehydrogenating",Lathosterol + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> 7-Dehydrocholesterol + 2 Ferricytochrome b5 + 2 H2O,"Steroid biosynthesis,Biosynthesis of secondary metabolites"
R01451,cholesterol:NAD+ delta7-oxidoreductase,Cholesterol + NAD+ <=> 7-Dehydrocholesterol + NADH + H+,Steroid biosynthesis
R00830,succinyl-CoA:glycine C-succinyltransferase (decarboxylating),Succinyl-CoA + Glycine <=> 5-Aminolevulinate + CoA + CO2,"Glycine, serine and threonine metabolism,Porphyrin metabolism,Biosynthesis of secondary metabolites,Biosynthesis of cofactors"
R11141,pyruvate:(E)-oct-2-enal acetaldehydetransferase (decarboxylating),Pyruvate + trans-2-Octenal <=> (S)-3-Acetyloctanal + CO2,"Prodigiosin biosynthesis,Biosynthesis of secondary metabolites"
R11672,,(S)-3-Acetyloctanal + Amino acid <=> 2-Methyl-3-n-amyl-dihydropyrrole + 2-Oxo acid,"Prodigiosin biosynthesis,Biosynthesis of secondary metabolites"
R11661,2-methyl-3-n-amyl-dihydropyrrole:amine oxidoreductase,2-Methyl-3-n-amyl-dihydropyrrole + FAD <=> 2-Methyl-3-n-amyl-pyrrole + FADH2,"Prodigiosin biosynthesis,Biosynthesis of secondary metabolites"
R11662,,"4-Methoxy-2,2'-bipyrrole-5-carbaldehyde + 2-Methyl-3-n-amyl-pyrrole + ATP <=> Prodigiosin + ADP + Orthophosphate","Prodigiosin biosynthesis,Biosynthesis of secondary metabolites"
R00509,ATP:adenylylsulfate 3'-phosphotransferase,ATP + Adenylyl sulfate <=> ADP + 3'-Phosphoadenylyl sulfate,"Purine metabolism,Sulfur metabolism,Microbial metabolism in diverse environments,Sulfur cycle"
R02021,"adenosine 3',5'-bisphosphate,sulfite:oxidized-thioredoxin oxidoreductase (3'-phosphoadenosine-5'-phosphosulfate -forming)","Thioredoxin + 3'-Phosphoadenylyl sulfate <=> Thioredoxin disulfide + Sulfite + Adenosine 3',5'-bisphosphate","Sulfur metabolism,Microbial metabolism in diverse environments,Sulfur cycle"
R00858,hydrogen-sulfide:NADP+ oxidoreductase,Hydrogen sulfide + 3 NADP+ + 3 H2O <=> Sulfite + 3 NADPH + 3 H+,"Sulfur metabolism,Microbial metabolism in diverse environments,Sulfur cycle"
R01728,prephenate:NAD+ oxidoreductase(decarboxylating),Prephenate + NAD+ <=> 3-(4-Hydroxyphenyl)pyruvate + CO2 + NADH + H+,"Phenylalanine, tyrosine and tryptophan biosynthesis,Novobiocin biosynthesis,Biosynthesis of secondary metabolites,Biosynthesis of amino acids"
R01730,prephenate:NADP+ oxidoreductase(decarboxylating),Prephenate + NADP+ <=> 3-(4-Hydroxyphenyl)pyruvate + CO2 + NADPH + H+,"Phenylalanine, tyrosine and tryptophan biosynthesis,Biosynthesis of secondary metabolites,Biosynthesis of amino acids"
R00734,L-tyrosine:2-oxoglutarate aminotransferase,L-Tyrosine + 2-Oxoglutarate <=> 3-(4-Hydroxyphenyl)pyruvate + L-Glutamate,"Ubiquinone and other terpenoid-quinone biosynthesis,Tyrosine metabolism,Phenylalanine, tyrosine and tryptophan biosynthesis,Novobiocin biosynthesis,Isoquinoline alkaloid biosynthesis,Biosynthesis of secondary metabolites,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids"
R01825,D-erythrose 4-phosphate:NAD+ oxidoreductase,D-Erythrose 4-phosphate + NAD+ + H2O <=> 4-Phospho-D-erythronate + NADH + H+,"Vitamin B6 metabolism,Biosynthesis of cofactors"
R04210,4-phospho-D-erythronate:NAD+ 2-oxidoreductase,4-Phospho-D-erythronate + NAD+ <=> 2-Oxo-3-hydroxy-4-phosphobutanoate + NADH + H+,"Vitamin B6 metabolism,Biosynthesis of cofactors"
R05085,O-phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase,O-Phospho-4-hydroxy-L-threonine + 2-Oxoglutarate <=> 2-Oxo-3-hydroxy-4-phosphobutanoate + L-Glutamate,"Vitamin B6 metabolism,Biosynthesis of cofactors"
R05681,NAD-dependent threonine 4-phosphate dehydrogenase,O-Phospho-4-hydroxy-L-threonine + NAD+ <=> 2-Amino-3-oxo-4-phosphonooxybutyrate + NADH + H+,"Vitamin B6 metabolism,Biosynthesis of cofactors"
R05838,pyridoxine 5'-phosphate synthase,3-Amino-2-oxopropyl phosphate + 1-Deoxy-D-xylulose 5-phosphate <=> Pyridoxine phosphate + Orthophosphate + 2 H2O,"Vitamin B6 metabolism,Biosynthesis of cofactors"
R00278,pyridoxine 5'-phosphate:oxygen oxidoreductase,Pyridoxine phosphate + Oxygen <=> Hydrogen peroxide + Pyridoxal phosphate,"Vitamin B6 metabolism,Biosynthesis of cofactors"
R06438,dTDP-6-deoxy-alpha-D-allose:NAD+ oxidoreductase,dTDP-6-deoxy-D-allose + NAD+ <=> dTDP-4-oxo-6-deoxy-D-allose + NADH + H+,"Polyketide sugar unit biosynthesis,Biosynthesis of secondary metabolites,Biosynthesis of nucleotide sugars"
R10404,,S-Adenosyl-L-methionine <=> S-Adenosyl-L-homocysteine,"Cysteine and methionine metabolism,Biosynthesis of amino acids"
R00194,S-adenosyl-L-homocysteine homocysteinylribohydrolase,S-Adenosyl-L-homocysteine + H2O <=> S-Ribosyl-L-homocysteine + Adenine,"Cysteine and methionine metabolism,Biosynthesis of amino acids"
R01291,"S-(5-deoxy-D-ribos-5-yl)-L-homocysteine homocysteine-lyase [(4S)-4,5-dihydroxypentan-2,3-dione-forming]","S-Ribosyl-L-homocysteine <=> (S)-4,5-Dihydroxypentane-2,3-dione + L-Homocysteine","Cysteine and methionine metabolism,Biosynthesis of amino acids"
R10305,O3-acetyl-L-serine:L-homocysteine S-(2-amino-2-carboxyethyl)transferase,O-Acetyl-L-serine + L-Homocysteine <=> L-Cystathionine + Acetate,"Cysteine and methionine metabolism,Biosynthesis of amino acids"
R05668,,ATP + NAD+ <=> 3'-Keto-3'-deoxy-ATP + NADH + H+,"Biosynthesis of various antibiotics,Biosynthesis of secondary metabolites"
R05669,,3'-Keto-3'-deoxy-ATP <=> 3'-Keto-3'-deoxy-AMP + Diphosphate,"Biosynthesis of various antibiotics,Biosynthesis of secondary metabolites"
R05670,,3'-Keto-3'-deoxy-AMP <=> 3'-Amino-3'-deoxy-AMP,"Biosynthesis of various antibiotics,Biosynthesis of secondary metabolites"
R05671,,"3'-Amino-3'-deoxy-AMP + L-Tyrosine <=> N6,N6,O-Tridemethylpuromycin-5'-phosphate","Biosynthesis of various antibiotics,Biosynthesis of secondary metabolites"
R05672,,"N6,N6,O-Tridemethylpuromycin-5'-phosphate + Acetyl-CoA <=> N-Acetyl-N6,N6,O-tridemethylpuromycin-5'-phosphate + CoA","Biosynthesis of various antibiotics,Biosynthesis of secondary metabolites"
R05673,,"N-Acetyl-N6,N6,O-tridemethylpuromycin-5'-phosphate + S-Adenosyl-L-methionine <=> N-Acetyl-N6,O-didemethylpuromycin-5'-phosphate + S-Adenosyl-L-homocysteine","Biosynthesis of various antibiotics,Biosynthesis of secondary metabolites"
R05675,,N-Acetyl-O-demethylpuromycin-5'-phosphate <=> N-Acetyl-O-demethylpuromycin,"Biosynthesis of various antibiotics,Biosynthesis of secondary metabolites"
R05676,,N-Acetyl-O-demethylpuromycin + S-Adenosyl-L-methionine <=> N-Acetylpuromycin + S-Adenosyl-L-homocysteine,"Biosynthesis of various antibiotics,Biosynthesis of secondary metabolites"
R05677,,N-Acetylpuromycin + H2O <=> Puromycin + Acetate,"Biosynthesis of various antibiotics,Biosynthesis of secondary metabolites"
R00996,L-threonine ammonia-lyase (2-oxobutanoate-forming),L-Threonine <=> 2-Oxobutanoate + Ammonia,"Glycine, serine and threonine metabolism,Valine, leucine and isoleucine biosynthesis,Biosynthesis of secondary metabolites,Biosynthesis of amino acids"
R08648,pyruvate:2-oxobutanoate acetaldehydetransferase (decarboxylating),Pyruvate + 2-Oxobutanoate <=> (S)-2-Aceto-2-hydroxybutanoate + CO2,"Valine, leucine and isoleucine biosynthesis,Biosynthesis of secondary metabolites,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids"
R05069,(S)-2-aceto-2-hydroxybutanoate:NADP+ oxidoreductase (isomerizing),(S)-2-Aceto-2-hydroxybutanoate <=> (R)-3-Hydroxy-3-methyl-2-oxopentanoate,"Valine, leucine and isoleucine biosynthesis,Biosynthesis of secondary metabolites,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids"
R05070,"(R)-2,3-dihydroxy-3-methylpentanoate hydro-lyase","(R)-2,3-Dihydroxy-3-methylpentanoate <=> (S)-3-Methyl-2-oxopentanoic acid + H2O","Valine, leucine and isoleucine biosynthesis,Biosynthesis of secondary metabolites,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids"
R02199,L-isoleucine:2-oxoglutarate aminotransferase,L-Isoleucine + 2-Oxoglutarate <=> (S)-3-Methyl-2-oxopentanoic acid + L-Glutamate,"Valine, leucine and isoleucine degradation,Valine, leucine and isoleucine biosynthesis,Glucosinolate biosynthesis,Biosynthesis of secondary metabolites,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids"
R08597,"dTDP-4-oxo-2,6-dideoxy-D-glucose 3,5-epimerase","dTDP-4-oxo-2,6-dideoxy-D-glucose <=> dTDP-4-oxo-2,6-dideoxy-L-mannose","Polyketide sugar unit biosynthesis,Biosynthesis of secondary metabolites,Biosynthesis of nucleotide sugars"
R06434,,"dTDP-4-oxo-2,6-dideoxy-L-mannose + NADPH + H+ <=> dTDP-L-olivose + NADP+","Polyketide sugar unit biosynthesis,Biosynthesis of secondary metabolites,Biosynthesis of nucleotide sugars"
R01279,"palmitoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase",Palmitoyl-CoA + FAD <=> trans-Hexadec-2-enoyl-CoA + FADH2,"Fatty acid degradation,Fatty acid metabolism"
R04738,(S)-3-hydroxyhexadecanoyl-CoA hydro-lyase,(S)-3-Hydroxyhexadecanoyl-CoA <=> trans-Hexadec-2-enoyl-CoA + H2O,"Fatty acid elongation,Fatty acid degradation,Fatty acid metabolism"
R04737,(S)-3-hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase,(S)-3-Hydroxyhexadecanoyl-CoA + NAD+ <=> 3-Oxopalmitoyl-CoA + NADH + H+,"Fatty acid elongation,Fatty acid degradation,Fatty acid metabolism"
R03991,myristoyl-CoA:acetylCoA C-myristoyltransferase,Tetradecanoyl-CoA + Acetyl-CoA <=> CoA + 3-Oxopalmitoyl-CoA,"Fatty acid elongation,Fatty acid degradation,Fatty acid metabolism"
R00158,ATP:UMP phosphotransferase,ATP + UMP <=> ADP + UDP,"Pyrimidine metabolism,Nucleotide metabolism,Biosynthesis of cofactors"
R00156,ATP:UDP phosphotransferase,ATP + UDP <=> ADP + UTP,"Pyrimidine metabolism,Nucleotide metabolism,Biosynthesis of cofactors"
R00571,UTP:ammonia ligase (ADP-forming),ATP + UTP + Ammonia <=> ADP + Orthophosphate + CTP,"Pyrimidine metabolism,Nucleotide metabolism,Biosynthesis of cofactors"
R01381,UTP:1-phospho-alpha-D-glucuronate uridylyltransferase,UTP + D-Glucuronate 1-phosphate <=> Diphosphate + UDP-glucuronate,"Pentose and glucuronate interconversions,Ascorbate and aldarate metabolism,Amino sugar and nucleotide sugar metabolism,Biosynthesis of nucleotide sugars"
R01476,ATP:D-glucuronate 1-phosphotransferase,ATP + D-Glucuronate <=> ADP + D-Glucuronate 1-phosphate,"Pentose and glucuronate interconversions,Ascorbate and aldarate metabolism,Amino sugar and nucleotide sugar metabolism,Biosynthesis of nucleotide sugars"
R02640,L-gulonate:NAD+ 3-oxidoreductase,L-Gulonate + NAD+ <=> 3-Dehydro-L-gulonate + NADH + H+,Pentose and glucuronate interconversions
R01904,xylitol:NADP+ 4-oxidoreductase (L-xylulose-forming),Xylitol + NADP+ <=> L-Xylulose + NADPH + H+,Pentose and glucuronate interconversions
R01896,xylitol:NAD+ 2-oxidoreductase (D-xylulose-forming),Xylitol + NAD+ <=> D-Xylulose + NADH + H+,Pentose and glucuronate interconversions
R01639,ATP:D-xylulose 5-phosphotransferase,ATP + D-Xylulose <=> ADP + D-Xylulose 5-phosphate,Pentose and glucuronate interconversions
R00391,acyl-CoA:acetyl-CoA C-acyltransferase,Acyl-CoA + Acetyl-CoA <=> CoA + 3-Oxoacyl-CoA,Fatty acid elongation
R01778,(3S)-3-hydroxyacyl-CoA:NAD+ oxidoreductase,(3S)-3-Hydroxyacyl-CoA + NAD+ <=> 3-Oxoacyl-CoA + NADH + H+,Fatty acid elongation
R02685,(3S)-3-hydroxyacyl-CoA hydro-lyase,"(3S)-3-Hydroxyacyl-CoA <=> trans-2,3-Dehydroacyl-CoA + H2O",Fatty acid elongation
R07162,acyl-CoA:NADP+ trans-2-oxidoreductase,"Acyl-CoA + NADP+ <=> trans-2,3-Dehydroacyl-CoA + NADPH + H+",Fatty acid elongation
R02340,"(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate D-glyceraldehyde-3-phosphate-lyase",Indoleglycerol phosphate <=> Indole + D-Glyceraldehyde 3-phosphate,"Phenylalanine, tyrosine and tryptophan biosynthesis,Benzoxazinoid biosynthesis,Biosynthesis of various plant secondary metabolites,Biosynthesis of secondary metabolites"
R07403,"indole,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (2-hydroxylating)",Indole + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Indolin-2-one + [Oxidized NADPH---hemoprotein reductase] + H2O,"Benzoxazinoid biosynthesis,Biosynthesis of various plant secondary metabolites,Biosynthesis of secondary metabolites"
R07421,"indolin-2-one,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (3-hydroxylating)",Indolin-2-one + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 3-Hydroxyindolin-2-one + [Oxidized NADPH---hemoprotein reductase] + H2O,"Benzoxazinoid biosynthesis,Biosynthesis of various plant secondary metabolites,Biosynthesis of secondary metabolites"
R07422,"3-hydroxyindolin-2-one,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (2-hydroxy-2H-1,4-benzoxazin-3(4H)-one-forming)",3-Hydroxyindolin-2-one + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> HBOA + [Oxidized NADPH---hemoprotein reductase] + H2O,"Benzoxazinoid biosynthesis,Biosynthesis of various plant secondary metabolites,Biosynthesis of secondary metabolites"
R07423,"2-hydroxy-2H-1,4-benzoxazin-3(4H)-one,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (N-hydroxylating)",HBOA + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> DIBOA + [Oxidized NADPH---hemoprotein reductase] + H2O,"Benzoxazinoid biosynthesis,Biosynthesis of various plant secondary metabolites,Biosynthesis of secondary metabolites"
R07426,UDP-glucose:DIBOA 2-D-glucosyltransferase,UDP-glucose + DIBOA <=> UDP + DIBOA-glucoside,"Benzoxazinoid biosynthesis,Biosynthesis of various plant secondary metabolites,Biosynthesis of secondary metabolites"
R08972,"(2R)-4-hydroxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl beta-D-glucopyranoside:oxygen oxidoreductase (7-hydroxylating)",DIBOA-glucoside + 2-Oxoglutarate + Oxygen <=> TRIBOA-glucoside + Succinate + CO2,"Benzoxazinoid biosynthesis,Biosynthesis of various plant secondary metabolites,Biosynthesis of secondary metabolites"
R08973,S-adenosyl-L-methionine:TRIBOA-glucoside 7-O-methyltransferase,S-Adenosyl-L-methionine + TRIBOA-glucoside <=> S-Adenosyl-L-homocysteine + DIMBOA-glucoside,"Benzoxazinoid biosynthesis,Biosynthesis of various plant secondary metabolites,Biosynthesis of secondary metabolites"
R02106,urate:oxygen oxidoreductase,Urate + Oxygen + H2O <=> 5-Hydroxyisourate + Hydrogen peroxide,"Purine metabolism,Microbial metabolism in diverse environments"
R09514,"urate,NADH:oxygen oxidoreductase (5-hydroxyisourate forming)",Urate + NADH + H+ + Oxygen <=> 5-Hydroxyisourate + NAD+ + H2O,"Purine metabolism,Microbial metabolism in diverse environments"
R06601,5-hydroxyisourate amidohydrolase,"5-Hydroxyisourate + H2O <=> 5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate","Purine metabolism,Microbial metabolism in diverse environments"
R06604,"5-hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate carboxy-lyase [(S)-allantoin-forming]","5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate <=> (S)-Allantoin + CO2","Purine metabolism,Microbial metabolism in diverse environments"
R02425,(S)-allantoin amidohydrolase,(S)-Allantoin + H2O <=> Allantoate,"Purine metabolism,Microbial metabolism in diverse environments"
R02422,allantoate amidinohydrolase,Allantoate + H2O <=> (S)-Ureidoglycolate + Urea,"Purine metabolism,Microbial metabolism in diverse environments"
R10485,malonyl-CoA:(S)-1-pyrroline-5-carboxylate malonyltransferase (cyclizing),"Malonyl-CoA + (S)-1-Pyrroline-5-carboxylate + H2O <=> CoA + (2S,5S)-trans-Carboxymethylproline + CO2","Carbapenem biosynthesis,Biosynthesis of secondary metabolites"
R10556,"(2S,5S)-5-carboxymethylproline cyclo-ligase (AMP-forming)","ATP + (2S,5S)-trans-Carboxymethylproline <=> AMP + Diphosphate + (3S,5S)-Carbapenam-3-carboxylic acid","Carbapenem biosynthesis,Biosynthesis of secondary metabolites"
R10415,"(3S,5S)-carbapenam-3-carboxylate,2-oxoglutarate:oxygen oxidoreductase (dehydrating)","(3S,5S)-Carbapenam-3-carboxylic acid + 2-Oxoglutarate + Oxygen <=> (5R)-Carbapen-2-em-3-carboxylate + Succinate + CO2 + H2O","Carbapenem biosynthesis,Biosynthesis of secondary metabolites"
R00730,"L-tyrosine,[reduced NADPH-hemoprotein reductase]:oxygen oxidoreductase (N-hydroxylating)",L-Tyrosine + Oxygen + [Reduced NADPH---hemoprotein reductase] <=> N-Hydroxy-L-tyrosine + [Oxidized NADPH---hemoprotein reductase] + H2O,"Cyanoamino acid metabolism,Biosynthesis of secondary metabolites"
R05728,"(E)-4-hydroxyphenylacetaldehyde oxime,[reduced NADPH-hemoprotein reductase]:oxygen oxidoreductase",(E)-4-Hydroxyphenylacetaldehyde oxime + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> (S)-4-Hydroxymandelonitrile + [Oxidized NADPH---hemoprotein reductase] + 2 H2O,"Cyanoamino acid metabolism,Biosynthesis of secondary metabolites"
R04296,UDPglucose:(S)-4-hydroxymandelonitrile beta-D-glucosyltransferase,UDP-glucose + (S)-4-Hydroxymandelonitrile <=> UDP + Dhurrin,"Cyanoamino acid metabolism,Biosynthesis of secondary metabolites"
R07177,thiosulfate:6-decylubiquinone oxidoreductase,2 Thiosulfate + Decylubiquinone <=> Tetrathionate + Decylubiquinol,"Sulfur metabolism,Microbial metabolism in diverse environments,Sulfur cycle"
R00029,thiosulfate:ferricytochrome-c oxidoreductase,2 Thiosulfate + 2 Ferricytochrome c <=> Tetrathionate + 2 Ferrocytochrome c,"Sulfur metabolism,Microbial metabolism in diverse environments,Sulfur cycle"
R13400,,Tetrathionate + H2O <=> Thiosulfate + Sulfur + Sulfate + H+,"Sulfur metabolism,Microbial metabolism in diverse environments,Sulfur cycle"
R03303,"3,4-dihydroxyphenylacetate:oxygen 2,3-oxidoreductase (decyclizing)","3,4-Dihydroxyphenylacetate + Oxygen <=> 2-Hydroxy-5-carboxymethylmuconate semialdehyde","Tyrosine metabolism,Microbial metabolism in diverse environments,Degradation of aromatic compounds"
R04418,5-carboxymethyl-2-hydroxymuconic-semialdehyde:NAD+ oxidoreductase,2-Hydroxy-5-carboxymethylmuconate semialdehyde + NAD+ + H2O <=> 5-Carboxymethyl-2-hydroxymuconate + NADH + H+,"Tyrosine metabolism,Microbial metabolism in diverse environments,Degradation of aromatic compounds"
R04379,"5-carboxymethyl-2-hydroxymuconate delta2,delta4-2-oxo,delta3-isomerase",5-Carboxymethyl-2-hydroxymuconate <=> 5-Carboxy-2-oxohept-3-enedioate,"Tyrosine metabolism,Microbial metabolism in diverse environments,Degradation of aromatic compounds"
R04380,"5-oxopent-3-ene-1,2,5-tricarboxylate carboxy-lyase","5-Carboxy-2-oxohept-3-enedioate <=> 2-Hydroxyhepta-2,4-dienedioate + CO2","Tyrosine metabolism,Microbial metabolism in diverse environments,Degradation of aromatic compounds"
R05916,,UDP-N-acetyl-D-glucosamine + 1-Phosphatidyl-D-myo-inositol <=> UDP + G00143,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
R05917,,G00143 + H2O <=> G00144 + Acetate,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
R05918,,G00144 + Palmitoyl-CoA <=> G00145 + CoA,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
R05919,,Dolichyl phosphate D-mannose + G00145 <=> Dolichyl phosphate + G00146,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
R12350,,G00146 + Dolichyl phosphate D-mannose <=> G13128 + Dolichyl phosphate,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
R12351,,"G13128 + Phosphatidylethanolamine <=> G00148 + 1,2-Diacyl-sn-glycerol",Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
R05922,,Dolichyl phosphate D-mannose + G00148 <=> Dolichyl phosphate + G00149,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
R08107,,"Phosphatidylethanolamine + G00149 <=> 1,2-Diacyl-sn-glycerol + G13044",Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
R12702,,"Phosphatidylethanolamine + G13044 <=> 1,2-Diacyl-sn-glycerol + G13152",Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
R11175,(S)-nicotine:cytochrome c oxidoreductase (N-methylmimosine-forming),Nicotine + 2 Ferricytochrome c <=> N-Methylmyosmine + 2 Ferrocytochrome c + 2 H+,"Nicotinate and nicotinamide metabolism,Microbial metabolism in diverse environments"
R11178,,Pseudooxynicotine + H2O <=> 3-Succinoylpyridine + Methylamine,"Nicotinate and nicotinamide metabolism,Microbial metabolism in diverse environments"
R10103,4-(methylamino)-1-(pyridin-3-yl)butan-1-one:c-type cytochrome oxidoreductase (methylamine releasing),Pseudooxynicotine + H2O + 2 Ferricytochrome c <=> 4-Oxo-1-(3-pyridyl)-1-butanone + Methylamine + 2 Ferrocytochrome c + 2 H+,"Nicotinate and nicotinamide metabolism,Microbial metabolism in diverse environments"
R10105,4-oxo-4-(pyridin-3-yl)butanal:NADP+ oxidoreductase,4-Oxo-1-(3-pyridyl)-1-butanone + NADP+ + H2O <=> 3-Succinoylpyridine + NADPH + H+,"Nicotinate and nicotinamide metabolism,Metabolism of xenobiotics by cytochrome P450,Microbial metabolism in diverse environments"
R11179,,3-Succinoylpyridine + H2O + Acceptor <=> 6-Hydroxy-3-succinoylpyridine + Reduced acceptor,"Nicotinate and nicotinamide metabolism,Microbial metabolism in diverse environments"
R09472,"4-(6-hydroxypyridin-3-yl)-4-oxobutanoate,NADH:oxygen oxidoreductase (3-hydroxylating, succinate semialdehyde releasing)","6-Hydroxy-3-succinoylpyridine + 2 NADH + 2 H+ + Oxygen <=> 2,5-Dihydroxypyridine + Succinate semialdehyde + 2 NAD+ + H2O","Nicotinate and nicotinamide metabolism,Microbial metabolism in diverse environments"
R00851,acyl-CoA:sn-glycerol-3-phosphate 1-O-acyltransferase,sn-Glycerol 3-phosphate + Acyl-CoA <=> 1-Acyl-sn-glycerol 3-phosphate + CoA,"Glycerolipid metabolism,Glycerophospholipid metabolism,Biosynthesis of secondary metabolites"
R02241,acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-O-acyltransferase,Phosphatidate + CoA <=> 1-Acyl-sn-glycerol 3-phosphate + Acyl-CoA,"Glycerolipid metabolism,Glycerophospholipid metabolism,Biosynthesis of secondary metabolites"
R02239,"1,2-diacyl-sn-glycerol 3-phosphate phosphohydrolase","Phosphatidate + H2O <=> 1,2-Diacyl-sn-glycerol + Orthophosphate","Glycerolipid metabolism,Glycerophospholipid metabolism,Biosynthesis of secondary metabolites"
R02251,"acyl-CoA:1,2-diacyl-sn-glycerol O-acyltransferase","Triacylglycerol + CoA <=> 1,2-Diacyl-sn-glycerol + Acyl-CoA",Glycerolipid metabolism
R00772,D-mannose-6-phosphate aldose-ketose-isomerase,D-Mannose 6-phosphate <=> D-Fructose 6-phosphate,"Fructose and mannose metabolism,Amino sugar and nucleotide sugar metabolism,Biosynthesis of secondary metabolites,Biosynthesis of cofactors,Biosynthesis of nucleotide sugars"
R01818,"D-mannose 6-phosphate 1,6-phosphomutase",D-Mannose 6-phosphate <=> D-Mannose 1-phosphate,"Fructose and mannose metabolism,Amino sugar and nucleotide sugar metabolism,Biosynthesis of secondary metabolites,Biosynthesis of cofactors,Biosynthesis of nucleotide sugars"
R00885,GTP:alpha-D-mannose-1-phosphate guanylyltransferase,GTP + D-Mannose 1-phosphate <=> Diphosphate + GDP-mannose,"Fructose and mannose metabolism,Amino sugar and nucleotide sugar metabolism,Biosynthesis of various nucleotide sugars,Biosynthesis of secondary metabolites,Biosynthesis of cofactors,Biosynthesis of nucleotide sugars"
R00889,"GDP-mannose 3,5-epimerase",GDP-mannose <=> GDP-L-galactose,"Ascorbate and aldarate metabolism,Amino sugar and nucleotide sugar metabolism,Biosynthesis of secondary metabolites,Biosynthesis of cofactors,Biosynthesis of nucleotide sugars"
R07678,GDP-beta-L-galactose:hexose 1-phosphate guanylyltransferase,GDP-L-galactose + D-Mannose 1-phosphate <=> beta-L-Galactose 1-phosphate + GDP-mannose,"Ascorbate and aldarate metabolism,Biosynthesis of secondary metabolites,Biosynthesis of cofactors"
R07674,beta-L-galactose-1-phosphate phosphohydrolase,beta-L-Galactose 1-phosphate + H2O <=> L-Galactose + Orthophosphate,"Ascorbate and aldarate metabolism,Biosynthesis of secondary metabolites,Biosynthesis of cofactors"
R07675,L-galactose:NAD+ 1-oxidoreductase,"L-Galactose + NAD+ <=> L-Galactono-1,4-lactone + NADH + H+","Ascorbate and aldarate metabolism,Biosynthesis of secondary metabolites,Biosynthesis of cofactors"
